Thu Nov 02 2023 17:55:28 GMT+0000 (Coordinated Universal Time) - Run Time: 2617ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: GGHM V4 zone of origin - ggh4_orig
Column: GGHM V4 zone of destination - ggh4_dest
Table: Start time of trip - start_time


Filters:
Day of week trip data were collected - trip_day In 2, 
and
Trip purpose of destination - purp_dest In W, 
and
Primary travel mode of trip - mode_prime In D, 

Trip 2016
ROW : ggh4_orig
COLUMN : ggh4_dest

TABLE    : start_time (400)

   ggh4_orig   ggh4_dest      total
        8107        4149         18
        8151        8141         24
        8520        4126          8
        8596        8567         19
        8702        3025         15
        8712        4287          9
        8819        4379         23
        8829        8820         20
        8887        1404         13
        8905       17526         19
        8906        8908         13
        9001        1169         26
        9024        9112         31

TABLE    : start_time (450)

   ggh4_orig   ggh4_dest      total
        2166        2192         18
        2189        1052         13
        2212        1060         29
        6220        1115         19
        7011        6199         28
        7100        7144         15
        8254        8336         17
        8300        8573         24
        8839        1013         22
        9005        1395         56

TABLE    : start_time (455)

   ggh4_orig   ggh4_dest      total
        3076        5083         29
        4104        4129         35
        4246        4249         23
        6156        1090         37
        7022        4304         10
        7076        7076          5
        8708        4115         59

TABLE    : start_time (500)

   ggh4_orig   ggh4_dest      total
        1001        7082         11
        1003        3115         67
        1021        4182         12
        1024        4158         19
        1035        1103         26
        1063        1014         16
        1070        1005         13
        1092        4208         19
        1130        1268         27
        1198        1016         20
        1207        3281         12
        1230        1327         23
        1245        4347         31
        1246        4384         16
        1282        3073          8
        1286        3114         28
        1291        3114         16
        1291        3265         32
        1295        3093         15
        1299        1348         20
        1299        1469         66
        1325        4276         16
        1350        1238         76
        1351        1014          6
        1362        1588         18
        1387        5115          9
        1415        1286          7
        1434        4126         12
        1448        1066         30
        1455        4238         93
        1456        3045         28
        1472        1405         12
        1483        1515         47
        1484        1013         15
        1495        1218          9
        1498        5144         40
        1505        1300         14
        1525        1100         29
        1529        3255         13
        1538        4062          9
        1550        3177         20
        1556        1003         13
        1620        1324         51
        1626        1395          9
        2006        1440          4
        2020        1219         28
        2020        1461         19
        2021        4147         29
        2023        1524         41
        2023        2006         16
        2031        3184         35
        2095        3180         18
        2097        2061         31
        2098        1100         10
        2139        1202         17
        2156        2035         16
        2158        2058         12
        2177        4077          8
        2178        1516         35
        2184        9002         17
        2201        1080         47
        2201        3385         18
        2202        1145         47
        2218        9307         16
        2223        9116         34
        2233        3156         17
        2233        4103          8
        2280        1293         44
        2311        1219         18
        2313        8847         24
        3028        1454         20
        3033        3013         30
        3051        4361         13
        3056        3144         41
        3087        3385         12
        3126        4207         21
        3130        3027         10
        3179        8803          9
        3196        1510         19
        3203        3404         38
        3215        1073         10
        3226        4304         22
        3266        3115         46
        3302        4147         14
        3304        4357         55
        3334        2044         20
        3403        1066         19
        3409        2057          9
        3415        8806          6
        3455        3098         11
        3460        3346          9
        3465        3121          4
        3466        4252         64
        4002        4108         36
        4022        1058         11
        4022        1221         31
        4027        4182          9
        4040        4089         17
        4046        1071         45
        4067        4144         11
        4080        4225         11
        4089        1416         31
        4091        4118          4
        4104        1416         12
        4107        1363         23
        4114        4092         17
        4119        1284         26
        4121        4308         26
        4177        4292         27
        4186        4361         19
        4210        4250         76
        4211        5124         38
        4214        5013          5
        4226        4145         34
        4232        4069         11
        4245        3092         10
        4245        4110         10
        4259        1277         13
        4266        4182         23
        4267        4144         10
        4278        1115         16
        4279        3067         27
        4280        1545         20
        4293        4172         20
        4293        4378         23
        4299        4233         11
        4310        1142         26
        4310        4383          8
        4312        4378         51
        4317        3103         22
        4326        4154         33
        4326        4326         24
        4341        4092         23
        4341        4165         18
        4353        5079         25
        4359        4207         10
        4362        3078         46
        4364        1346         28
        4376        1478         13
        5033        5035         28
        5037        4149         29
        5040        6127         35
        5040        8569         32
        5045        5153         18
        5069        4028         13
        5074        5076         13
        5075        1075         36
        5107        6199         30
        5113        5153         13
        5124        4145         20
        5125        1511         19
        5132        5063         15
        6003        1015         13
        6005        1071         68
        6053        4064         31
        6061        1014         37
        6065        6223         55
        6075        6199         58
        6084        2037         47
        6089        5041         27
        6090        7157         13
        6092        4292         34
        6098        4001         27
        6126        6068         33
        6152        6127         44
        6152        6223         23
        6160        8807         36
        6162        5035         38
        6185        6214         59
        6210        6043         35
        6220        8230         52
        7040        6212          4
        7060        6199         27
        7060        7055         19
        7073        4093         13
        7075        7033         11
        7095        6109         27
        7100        7100         64
        7126        6119         10
        7127        7094         16
        7141        4182         21
        7141       99998         16
        7154        4069         43
        7155        1122         39
        7155        7164         33
        7168        7073         28
        8104        8123         23
        8112        8149          9
        8130        6013         10
        8130        8145          7
        8133        8262         26
        8150       17821         25
        8151       16454         12
        8156        8156         30
        8156        8505         10
        8205        5137         15
        8208       18176         29
        8211        8532         26
        8220        4182         38
        8225        8328          7
        8238        8265         13
        8245        1544          6
        8245        2091         21
        8249        4230         27
        8250        8207         41
        8254        8274         10
        8255        8351         21
        8259        8285         36
        8268        8505         32
        8271        8285         10
        8279        8427          7
        8282        8262         33
        8282        8285         33
        8283        5144         41
        8310        1358         16
        8312        3001         15
        8314        4177         20
        8327        8416          5
        8340        1524         17
        8345        8571         14
        8349        8231         10
        8350        5142          8
        8513        8508         16
        8549        8596        133
        8576        4068         22
        8578        4156         29
        8582        4056         15
        8587        4311         56
        8594        6204         27
        8596        8426         33
        8597        4182         13
        8600        1256         21
        8600        4182         46
        8701        1199          3
        8705        3092         26
        8710        8806         17
        8712        8708         37
        8805        3068         42
        8807        3010         83
        8814        5081         52
        8815        3035         17
        8820        3037         25
        8826        1608         13
        8826        3131         19
        8826        8890         19
        8829        3105         10
        8830        1115         27
        8830        8894         21
        8832        4297          9
        8842        1406         10
        8863        8806         10
        8874        4362          4
        8874        8427         27
        8885       17594         29
        8886        4141         32
        8887        8815         20
        8889        3432         25
        8890        3209          9
        8894        1094         75
        8897        3092         19
        8911        8813         37
        9013        9002         62
        9016        2289         18
        9124        9135          7
        9145        9120         20

TABLE    : start_time (505)

   ggh4_orig   ggh4_dest      total
        1021        3107         29
        3258        3114         71
        4054        4228         25
        4272        4154          8
        4283        4379         18
        5194        5115         44
        6096        4182         24
        6198        5115         35
        7003        7003         11
        8205        1473         14
        8299        1110         29
        8382        8427         11
        8701        5179          3
        8865        3260         28
        8889        8908         43
        9004       17639         17

TABLE    : start_time (510)

   ggh4_orig   ggh4_dest      total
        1340        1340         12
        1621        1569         32
        2310        2317         24
        3055        3077         57
        3330        1042         20
        3372        3114         20
        3394        3394         51
        4068        4056         10
        4123        1015         15
        4128        1537          8
        4142        1611         24
        4232        6199         19
        4235        3014         15
        4311        1262         29
        6107        5047         10
        7010        8009         23
        8156        8285         24
        8702        8710         40
        8813        8803         25
        8858        3088         64

TABLE    : start_time (515)

   ggh4_orig   ggh4_dest      total
        1063        1327          3
