Fri Nov 03 2023 12:25:04 GMT+0000 (Coordinated Universal Time) - Run Time: 3400ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: GGHM V4 zone of origin - ggh4_orig
Column: GGHM V4 zone of destination - ggh4_dest
Table: Start time of trip - start_time


Filters:
Day of week trip data were collected - trip_day In 3, 
and
Trip purpose of destination - purp_dest In W, 
and
Primary travel mode of trip - mode_prime In D, 

Trip 2016
ROW : ggh4_orig
COLUMN : ggh4_dest

TABLE    : start_time (400)

   ggh4_orig   ggh4_dest      total
   ggh4_orig   ggh4_dest      total
        1158        4220         26
        5133        5130         17
        8268        8567         49
        8308        4329         13
        8539        5160         52
        8563        4182         87
        8828        8824          8
        8839        8806          8

TABLE    : start_time (500)

   ggh4_orig   ggh4_dest      total
        1002        4100         21
        1013        4047         27
        1015        1115          8
        1042        3141         11
        1081        1314         22
        1092       17628         13
        1108        5137         16
        1159        3068          8
        1178        1241         56
        1184        3114         17
        1196        4378          8
        1202        5079          9
        1205        4304          5
        1223        3007         25
        1243        1469         17
        1250        4378         29
        1315        3204          4
        1321        4037         15
        1323        3092          7
        1331        4361         17
        1331        4378         12
        1348        4380         14
        1352        3027         10
        1361        4256         15
        1381        3014         23
        1407        1289         18
        1409        1618         29
        1459        1332         27
        1462        1411         35
        1462        3073         18
        1480        1623         28
        1487        3115         13
        1499        3251         28
        1524        1465         19
        1583        1540         36
        1587        1467         20
        1587        1524         18
        1587        3141         21
        1590        1382         10
        1592        1289         13
        1598        1581         13
        1599        1115         10
        1613        1515          7
        1620        3041          7
        1631        1157          6
        2002        3113         21
        2014        1039         19
        2014        1055          7
        2020        4380         16
        2021        1497         41
        2032        1135         29
        2038        2003         31
        2039        1430         11
        2048        1584         10
        2055        1341         50
        2095        1528         13
        2097        3158         25
        2107        4378         28
        2117        2196         32
        2134        2028         16
        2134        2086         19
        2138        2223         10
        2143        3421          4
        2149        2011         34
        2152        2018         10
        2168        9307          5
        2175        1416         32
        2175        9315         25
        2182        2215          8
        2202        1154         16
        2202        2011         33
        2213        2011         16
        2223        1522         27
        2223        2058         29
        2227        4111         11
        2235        4378         47
        2258        2007         10
        2302        4182         12
        2308        1421         20
        3060        1477         39
        3097        3038          8
        3130        5199         16
        3153        1416         17
        3173        3062         15
        3189        3042         10
        3197        3100         32
        3224        1184         15
        3227        1406         16
        3227        3309         16
        3264        3100         21
        3302        1105         14
        3303        3114         15
        3307        1524         12
        3312        1430         22
        3333        4207         17
        3334        1357          7
        3343        1511         12
        3362        1010         29
        3362        3293         12
        3363        1618        135
        3384        3024         18
        3388        4006         16
        3404        1289         13
        3407        1392         14
        3416        4206         28
        3425        1623         16
        3425        3374         16
        3465        1420         20
        3470        1511         20
        3487        2281          8
        4009        1075         16
        4019        1157         27
        4035        4256         12
        4036        3030         47
        4040        1133         18
        4040        4170         11
        4043        4378         11
        4052        1110         16
        4052        4292         28
        4076        1029         25
        4090        4156         31
        4096        1256         22
        4098        1356         68
        4099        1289         12
        4105        1014         24
        4107        4313         15
        4119        1057         17
        4127        5136         23
        4160        4111          9
        4160        4206         36
        4164        4297         14
        4181        4171         76
        4191        1277         18
        4191        4378         12
        4210        3159         55
        4210        4038         36
        4211        4208         29
        4214        4234         25
        4221        4136          8
        4224        4241         19
        4259        1347         10
        4259        3094         10
        4262        8275         16
        4269        4252         17
        4272        4241         35
        4281        1203         17
        4285        1014         19
        4310        4315         25
        4310        4379         19
        4311        4165         74
        4320        4206         34
        4326        3432         17
        4326        4304         61
        4329        3045         17
        4329        4268          9
        4329        4292         44
        4331        4225         15
        4362        1316         14
        4370        3014          8
        5022        8148         53
        5038        1322         17
        5044        3135         16
        5050        1005          9
        5050       17839         26
        5059        1016         20
        5096        1084         16
        5130        4001         21
        5181        4079         66
        6009        1030         29
        6009        5048         29
        6046        5048         33
        6075        6199         63
        6079        6177         45
        6079        6199         44
        6079        7157         69
        6082        5048         17
        6085        4304         75
        6155        5115         29
        6181        1181         49
        6199        6174         15
        6234        8227         32
        7014        5041         10
        7037        6199         28
        7053        6039          6
        7062        8207         76
        7065        7062         16
        7087        5007         13
        7091        1559         19
        7116        8262         14
        7133        7104         47
        7145        4156         28
        7148        7104         23
        7168        6199         52
        8122        7126         31
        8130       17844         63
        8152        4156         14
        8152        8285         28
        8209        1061         10
        8209        2091         12
        8215       16514         11
        8221        3064         21
        8225        8237         16
        8238        1044         21
        8248        1122         24
        8278        1377         10
        8288        8254         26
        8313        8537         60
        8358        8537         28
        8376        1256         18
        8398        6209          8
        8402        1124         41
        8520        6223         27
        8538        8530         73
        8538        8567          9
        8582        8537         19
        8709        4235          5
        8710        1445         51
        8712        1277         24
        8801        4304          7
        8815        4154         10
        8818        8820          3
        8826        3146         14
        8826        8820         27
        8827        1115         24
        8830        3383          6
