Fri Nov 03 2023 17:59:04 GMT+0000 (Coordinated Universal Time) - Run Time: 2900ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: GGHM V4 zone of origin - ggh4_orig
Column: GGHM V4 zone of destination - ggh4_dest
Table: Start time of trip - start_time


Filters:
Day of week trip data were collected - trip_day In 4, 
and
Trip purpose of destination - purp_dest In W, 
and
Primary travel mode of trip - mode_prime In D, 

Trip 2016
ROW : ggh4_orig
COLUMN : ggh4_dest

TABLE    : start_time (400)

   ggh4_orig   ggh4_dest      total
        8153        8149         10
        8202        8204         65
        8313        8417         20
        8596        8285         12
        8705        8703          8
        8807        3135         26
        8807        4092          6
        8815        3402         57
        8820        8813         16
        8821        1127         36
        8823        1622         24
        8829        3374         12
        8830        3022         26
        8833        3159         55
        8835        3420          9
        8840        8813         34
        8842        1277         14
        8855        8813         27
        8894        8813         32
        8905        4158         29
        8909        3113          7
        9019        8891         52
        9024        9023         21
        9101        9122         26

TABLE    : start_time (435)

   ggh4_orig   ggh4_dest      total
        4200        1115          5
        4290        4378         13
        4307        4189         22
        4331        1044        110
        8851        1469         16

TABLE    : start_time (440)

   ggh4_orig   ggh4_dest      total
        1168        3137         14
        1251        1287         15
        1431        1365         19
        2020        1600         22
        2196        1468         43
        3404        3440         37
        4094        4091         27
        4186        3014         67
        4262        4253         10
        4285        4206          9
        7074        7075         46
        8107        5115         24
        8225        1416         13
        8706        4253         13

TABLE    : start_time (445)

   ggh4_orig   ggh4_dest      total
        1002        1013         31
        1009        1010         17
        1151        1198         14
        1225        4379         21
        1274        1115          7
        1338        1388         18
        1371        4118          9
        1453        4297         10
        1566        3085         25
        2009        3202         30
        2063        1347         18
        2081        2123         16
        2143        1075         22
        2175        2030         59
        2186        3129         21
        2215        2227         11
        2313        3186         31
        3186        1307         30
        3228        4005         17
        3429        4209         32
        3474        1506         21
        3475        1408         15
        3476        3419         19
        4011        4182         24
        4074        2054         27
        4094        4092         13
        4107        4149         23
        4171        3014         19
        4208        4253         14
        4290        5115         24
        5132        4058         19
        6137        8285         26
        6173        4272        134
        7021        6036         20
        7051        8135         12
        7065        7068         11
        7094        6199         19
        7094        7074         18
        7126        7134         16
        8104        8274         31
        8119        8145         15
        8253        8285         31
        8292        8287         16
        8292        8296         12
        8347        8377         10
        8360        1095         26
        8387        5144         20
        8402        8280         19
        8570        8573         15
        8576        4115         39
        8577        4227         15
        8596        8289         12
        8702        4294         15
        8815        1347         12
        8828        4304         14
        8832        1125         29
        8840        8813         30
        8860        8893         30
        8918        8885          8

TABLE    : start_time (450)

   ggh4_orig   ggh4_dest      total
        1024        2003         19
        1208        1262          5
        1263        3070         46
        1624        1569         50
        2204        2205         11
        3056        1610         11
        3121        4304         33
        3392        1100         14
        3396        3430         20
        3474        8810         22
        4277        4253         21
        4341        3333         14
        5107        1469         20
        5142        4297         19
        5193        4381          6
        6227        5115         75
        7133       10308         24
        8133        8262         10
        8255        1357         43
        8576        8274         38
        8702        1197         15
        8834        1325         28

TABLE    : start_time (455)

   ggh4_orig   ggh4_dest      total
        1370        4182          9
        2149        2028         34
        7030        8285         19
        8828        1152          9

TABLE    : start_time (500)

   ggh4_orig   ggh4_dest      total
        1029        1324         27
        1072        4180         16
        1149        1349          7
        1158        3014         13
        1198        1151          7
        1209        2003          9
        1229        1340         35
        1272        1454         20
        1274        4288         13
        1286        1307         36
        1292        4361          9
        1299        1221         27
        1315        5024         26
        1318        8841         22
        1338        4378         37
        1347        3068         14
        1352        1512         17
        1352        4108         29
        1352        4379         10
        1355        1504         55
        1361        1221          4
        1374        1492          9
        1376        4292          9
        1380        1129         16
        1382        1320         40
        1403        1010         13
        1415        3114         15
        1415        4147         16
        1415        4230         15
        1431        3042         36
        1443        1611         24
        1448        1005         12
        1448        1289         31
        1459        3232         52
        1475        3100         27
        1488        1477         39
        1512        1115          8
        1526        1169         35
        1526        4012         20
        1566        8814         15
        1569        3114         62
        1583        1335         27
        1583        1584         15
        1590        4378          7
        1598        1362         17
        1599        4378         13
        1624        1433         44
        1625        3164         29
        1631        3008         17
        2013        1226         21
        2013        1618         10
        2037        1111         32
        2039        1416          8
        2050        1461         16
        2066        1613         29
        2066        3174         19
        2089        1611         19
        2092        1495         30
        2094        3204          8
        2103        1161         17
        2124        1470         21
        2124        1510         23
        2139        2007         17
        2149        2044         32
        2150        1105         20
        2150        2011         14
        2150        2116         65
        2156        3041         73
        2156        4093         46
        2175        1604         44
        2175        3138         23
        2194        2218         44
        2194        3184         44
        2196        2003         15
        2196        9303         25
        2198        4144         13
        2201        2075         37
        2218        3184         39
        2241        1091         15
        2317        9010         18
        3023        3042         24
        3033        1078         14
        3033        3090         20
        3044        3246         19
        3057        1362         14
        3060        1416         42
        3069        1515         24
        3082        3086          7
        3082        3090          7
        3119        1015         16
        3128        4231         16
        3160        7070          5
        3165        3086          9
        3186        4170         22
        3189        1112          7
        3195        3105         14
        3197        3031         42
        3248        4158          7
        3259        1419         12
        3273        3176         20
        3281        4090         24
        3288        3131         45
        3303        3074         32
        3304        3100        131
        3309        4253          6
        3321        1077         23
        3321        1199         23
        3345        3342         16
        3362        1154         12
        3364        1524          9
        3365        2106         45
        3369        3064         29
        3404        8814         45
        3407        1347         19
        3408        3098         13
        3409        1478         10
        3416        1622         10
        3417        1516         27
        3417        3024         44
        3424        3446         48
        3472        1100         12
        3474        1058         38
        3482        3314          6
        3489        3088         10
        4009        3094         45
        4009        4156         45
        4010        3189         57
        4010        8569         57
        4013        5137         15
        4014        3088          7
        4023        1473         35
        4030        1545         14
        4040        1020         14
        4046        4102         11
        4050        1122         33
        4051        1425         36
        4052        1084         15
        4052        4013         14
        4054        4145         22
        4054        4193         22
        4065        4347         17
        4073        1622         12
        4075        4136         19
        4080        4158         31
        4080        5160         10
        4087        1155        114
        4088        1081         23
        4091        2007         41
        4104        1044         10
        4104        4145         10
        4104        4308         32
        4119        1014         11
        4119        3135         19
        4129        1068         42
        4143        1262         32
        4151        1503         29
        4174        4116         17
        4174        5186         14
        4187        4164         30
        4199        1050         22
        4200        1416          6
        4210        4097         34
        4214        4225         22
        4224        4139         24
        4228        3086         67
        4239        4250         17
        4246        4304         10
        4247        4182         10
        4251        1013         34
        4251        4131         20
        4254        1284         15
        4255        4308          9
        4257        1322         10
        4257        4378         22
        4259        3100         16
        4262        1063         22
        4265        4156         13
        4269        4363         18
        4274        2011         34
        4278        5160         29
        4280        1066         14
        4287        4247         11
        4287        5060         13
        4289        3035          6
        4293        4379         22
        4298        4170         11
        4298        4294          9
        4300        4219         13
        4307        1221         24
        4307        1477         20
        4307        4247         15
        4310        4230         26
        4311        1152         22
        4311        3070          9
        4317        4108         31
        4320        4292         21
        4330        4182         38
        4330        4378         61
        4331        1477         17
        4357        1268         13
        4363        4038          7
        4363        4361          7
        4367        1114         20
        4367        4093         12
        4367        8324          9
        4370        4232         18
        4377        1256         10
        5004        6043         21
        5008        5013         42
        5029        1284         72
        5031        5079         20
        5048        5032         41
        5049        2074         30
        5066        4156         14
        5102        4104         25
        5107        2007         15
        5125        5051          9
        5125        5144          9
        5133        3078         13
        5133        8405         13
        5139        1411         21
        5142        8504         17
        5148        5164         15
        5183        4012         20
        5193        3018         17
        6019       16453         20
        6032        6190         34
        6041        5079         23
        6075        6017         71
        6083        5035         47
        6085        4124         35
        6093        8299         55
        6117        6199         41
        6123        6185         50
        6123        7145         32
        6134        6032         21
        6139        3107         20
        6146        5041         20
        6150        5115         35
        6160        6119         49
        6170        6134         23
        6190        4154         55
        6202        5060         79
        6210        4182         47
        6214        1010         49
        6219        6223         31
        6224        4136         34
        7013        7023         23
        7020        1091         11
        7021        7104         56
        7029        7135         46
        7033        7033         95
        7033        7063         20
        7043        4126         19
        7051        2003         24
        7069        7068         29
        7073        1416         12
        7094        7142         24
        7100        5070          8
        7116        7086         17
        7132        7087         13
        7151        2044         14
        7155        6199         27
        7157        5115          7
        7157        7145         82
        7162        6199         18
        7162        7122         11
        8104        5035         24
        8104        8137         45
        8105        5047          9
        8110        8134         24
        8130        6019         27
        8133        5115         58
        8142        8146         13
        8148        8005         22
        8151        8148         18
        8151        8285         33
        8152        8019         51
        8152        8286         29
        8201        4077         14
        8212        8260         47
        8215        8501         14
        8220        8287         10
        8229        8324         13
        8237        8262         30
        8238        4158         22
        8245        8124         17
        8255        1248         43
        8256        8149         26
        8263       17119         18
        8271        1145         16
        8279        1125         13
        8288        8569         16
        8298        8262         35
        8304        1095         13
        8309        8508         13
        8313        8299         16
        8327        8537         49
        8361        1404         12
        8381        4111         46
        8406        8394         23
        8520        4378         42
        8529        8524         17
        8564        8567         27
        8576        4115         39
        8581        1508         22
        8597        5137         13
        8705        4311          8
        8710        8710          9
        8711        8813         13
        8801        3064         24
        8803        4031         13
        8806        4250         17
        8811        1135         31
        8811        3114         14
        8815        2054         10
        8815        8880          8
        8816        8813         60
        8826        3239         35
        8826        4145         17
        8826        4292         27
        8828        8813         55
        8829        4220         16
        8830        1410         32
        8830        3413         17
        8830        8888         17
        8834        4157         11
        8835        8806         18
        8839        8813         42
        8842        8708         34
        8851        1445         16
        8855        8822         17
        8859        8813         11
        8862        4253         23
        8875        8850        135
        8880        8835         40
        8883        8887         21
        8887        8813         15
        8888        8821         27
        8890        4339         13
        8890        4363         37
        8893        1061         25
        8902        8847         19
        8905        8890         30
        8916        8910         49
        9005        3418         36
        9013        3217         11
        9013        8898          6
        9102        2040         13
        9130        9108         15
        9144        5137         47
        9322        2007         47
       99998        5070         23

TABLE    : start_time (505)

   ggh4_orig   ggh4_dest      total
        1159        4241         14
        1271        3092         17
        1346        1411         52
        1490        3258         40
        2014        1569         14
        2078        4182         21
        2294        3115         20
        3040        3088         34
        3219        1385          5
        4210        4292         49
        4228        4288         67
        4269        4088          7
        6092        4093         45
        6234        4225         13
