Fri Nov 03 2023 22:39:19 GMT+0000 (Coordinated Universal Time) - Run Time: 2900ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: GGHM V4 zone of origin - ggh4_orig
Column: GGHM V4 zone of destination - ggh4_dest
Table: Start time of trip - start_time


Filters:
Day of week trip data were collected - trip_day In 5, 
and
Trip purpose of destination - purp_dest In W, 
and
Primary travel mode of trip - mode_prime In D, 

Trip 2016
ROW : ggh4_orig
COLUMN : ggh4_dest

TABLE    : start_time (400)

   ggh4_orig   ggh4_dest      total
        8213        4147         18
        8213        8514         13
        8219        8013         27
        8245        6212         35
        8252        8404         14
        8255        3098         34
        8263        8300         14
        8278        8277         11
        8301        8310         25
        8366        3113         13
        8366       16448         13
        8503        5142          8
        8585        2044         11
        8587        8567        101
        8602        8596         20
        8702        4291         50
        8707        4182         29
        8709        8707         68
        8815        3013         13
        8815        3126         15
        8829        3139         67
        8835        8806         17
        8835        8824         13
        8839        1104          6
        8842        8813         20
        8851        3064         13
        8863        8814          8
        8865        1407          7
        8865        8813         20
        8893        8813         42
        9009        9106         15
        9015        1473         17
        9102        1601         11
        9102        3277         11
        9114        2309         14
        9115        9113         12
        9115        9130         14

TABLE    : start_time (435)

   ggh4_orig   ggh4_dest      total
        1502        1629         35
        4040        3021         15
        4071        4159         11
        4099        4384         48
        4166        4211          3
        5184        4047         14
        9116        9116         40

TABLE    : start_time (440)

   ggh4_orig   ggh4_dest      total
        1251        4182         85
        3252        3022          9
        4052        4091         14
        4084        4115          3
        4138        4206          8
        4148        1010         15
        8268        8285         46
        8290        8417         17
        8360        8297         45
        8524        8276         30
        8851        3389         10
        8858        8813         25

TABLE    : start_time (445)

   ggh4_orig   ggh4_dest      total
        1011        1029         10
        1160        5175          6
        1246        4182         16
        1251        8814         57
        1258        4384         32
        1263        1567         42
        1273        4378         29
        1285        2057         22
        1299        1274         26
        1299        1311         12
        1301        1256         13
        1348        1256         16
        1411        3131         19
        1436        1372         23
        1493        1618         16
        1552        1104         23
        1605        1516         10
        1606        1351          7
        2002        1339          9
        2124        1332         45
        2194        2003         29
        2223        1138         14
        2315        3433         16
        3040        1477         24
        3168        4149         25
        3246        1411         23
        3467        3385         49
        4070        1416         13
        4084        4264         14
        4134        4234          9
        4197        4264         34
        4226        4180         43
        4251        4118         10
        4259        3012         19
        5143        5161         17
        5148        3012         12
        5188        1110         33
        6077        8285         27
        6132        6188         14
        6133        5013         16
        6185        5005         14
        7167        1096         34
        8105        8123          9
        8279        8241         15
        8308        8268         22
        8315        8285          7
        8420        8418         13
        8527        8537         33
        8712        1293          9
        8826        3114         27
        8837        4182         36
        8855        3418         15
        8890        8833         13
        8907        8872         71

TABLE    : start_time (450)

   ggh4_orig   ggh4_dest      total
        2063        1315         37
        2178        2181         27
        2204       17859         25
        2205        2228         28
        2223        2044         45
        3446        3446         24
        4163        4253          5
        4279        4208         37
        6059        1007         97
        6090        6199         32
        6095        6212         50
        6158        5115         22
        6188        8140          8
        8816        1141         21
        8826        3241         37
        8866        8864          8
        8901        1211         17
        9117        3164         20
        9131        9117         37

TABLE    : start_time (455)

   ggh4_orig   ggh4_dest      total
        1012        1021         16
        1188        3373         38
        1387        4294         15
        1441        4139          8
        2010        1332         12
        5038        5044         29
        8360        8295         22
        9020        2011         10

TABLE    : start_time (500)

   ggh4_orig   ggh4_dest      total
        1002        1061         36
        1006        1005         15
        1006        1039         15
        1016        3037         24
        1022        1029         30
        1079        1077         25
        1114        8260          7
        1144        1125        117
        1149        1188          5
        1156        1138         15
        1188        7054         33
        1226        3089         17
        1241        1416         33
        1247        5171         11
        1251        5160         30
        1268        3455         36
        1274        4069         38
        1276        4120         21
        1283        4180          8
        1286        3062         23
        1286        4144         23
        1288        1221         23
        1295        1138         45
        1295        7060         94
        1305        1559         12
        1327        1053         12
        1333        1372         14
        1338        4108         33
        1354        1269          9
        1354        1347         15
        1361        4092         11
        1372        4378         32
        1378        1479         13
        1383        3204         20
        1383        4378         26
        1411        1411         14
        1420        1478         19
        1421        1010         40
        1421        1199         49
        1425        3009         32
        1425        3087         22
        1425        3102         28
        1427        3115         16
        1432        3145          5
        1433        2058         32
        1438        1021         23
        1444        1198         14
        1455        4369         47
        1459        8706         14
        1482        4378         48
        1483        1322          6
        1483        1357         16
        1484        1526         16
        1487        4012          7
        1507        2011         14
        1517        8814         18
        1541        3068          4
        1549        1440          6
        1567        3184         13
        1577        1221         15
        1578        1230         16
        1592        3142         17
        1594        1042         14
        1594        1594         13
        1596        4145          8
        1606        3131          7
        1607        3041         81
        1620        1578         82
        1628        3436         14
        1631        3062         23
        2006        2011         26
        2013        2019         33
        2020        3436         31
        2032        1430         24
        2037        1145         22
        2037        1214         42
        2042        1296         12
        2055        1522         12
        2063        1522         73
        2063        9307         14
        2085        2003         23
        2090        2053         14
        2094        3385         27
        2111        1466         46
        2121        3073         33
        2124        2003         13
        2124        3246         13
        2150        1368         31
        2155        1584         35
        2155        2192         35
        2181        2044         11
        2189        2196         40
        2196        2011         15
        2201        1540         32
        2201        2184         17
        2202        3025         22
        2241        1522         32
        2286        9010         51
        2292        1233          9
        2296        2182         24
        2297        2281         38
        2297        3313         38
        2300        3327         10
        2310        3474         21
        2315        3212         15
        3051        3106         13
        3053        1256         25
        3075        4207         23
        3087        4294         19
        3097        3209         44
        3110        3014          6
        3114        3057         29
        3137        4172         33
        3145        4378         21
        3148        4288         20
        3148       18089         31
        3166        3073          6
        3171        1537         15
        3171        5144         27
        3173        1029          8
        3177        3215         13
        3179        1114         17
        3185        3394         15
        3193        1029         14
        3196        3074         10
        3212        1504         11
        3212        4259         20
        3214        5060         36
        3231        8888         14
        3248        3086         11
        3280        2016         17
        3281        3432         18
        3299        1513          6
        3299        3306         18
        3304        4105        133
        3307        1221         17
        3317        1416         18
        3351        1207         31
        3363        5144         32
        3372        3394         44
        3391        8831        110
        3419        4287         36
        3425        3435         16
        3439        3381         14
        3455        4163         13
        3460        8806         10
        3467        3394         49
        3469        3429         18
        3473        3064          9
        3475        9311         43
        3486        3470         12
        4013        4047         17
        4015        1227         46
        4021        2028         15
        4023        4090         23
        4034        1018         14
        4034        1335         34
        4038        1010         44
        4040        8276         35
        4044        4381         31
        4045        4361          8
        4052        4156          8
        4052        5124         14
        4053        4308         32
        4054        1416         18
        4054        1513         11
        4057        3022         29
        4059        5161         24
        4061        4131         15
        4064        8833         27
        4066        2003         27
        4071        1201         14
        4071        1346         14
        4074        4249         34
        4084        4378         21
        4086        4002         34
        4091        3151         18
        4097        8813         29
        4128        1416          8
        4135        3007         23
        4143        3351         44
        4155        5060         92
        4155        8806          3
        4160        4241         28
        4163        3100          8
        4166        4136         10
        4186        1019         27
        4186        4226         41
        4191        1092         14
        4191        1152         25
        4191        3251         17
        4196        4262          8
        4200        1161         13
        4200        5048         34
        4212        4219         30
        4235        3015         75
        4245        4298          9
        4246        4251          4
        4246        8803         11
        4251        1124         16
        4251        8269         12
        4257        4182          7
        4260        4361         52
        4262        4206         32
        4265        4147         21
        4265        4238         13
        4266        4207         59
        4267        1256          9
        4267        1310         20
        4268        1322          5
        4268        4308         18
        4270        1319         39
        4270        4207          5
        4276        6013         13
        4277        4206         55
        4280        8705          7
        4298        5137          8
        4300        4341         22
        4300        5115          7
        4310        4147         53
        4310        4238         20
        4310        4248          8
        4310        4338         20
        4311        4378         14
        4316        1090         21
        4323        4308         34
        4329        3014         29
        4329        4172         35
        4329        4241          8
        4330        4226         12
        4332        4159         14
