Thu Nov 02 2023 15:04:44 GMT+0000 (Coordinated Universal Time) - Run Time: 2700ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: GGHM V4 zone of origin - ggh4_orig
Column: GGHM V4 zone of destination - ggh4_dest
Table: Start time of trip - start_time


Filters:
Day of week trip data were collected - trip_day In 1, 
and
Trip purpose of destination - purp_dest In W, 
and
Primary travel mode of trip - mode_prime In D, 

Trip 2016
ROW : ggh4_orig
COLUMN : ggh4_dest

TABLE    : start_time (400)

   ggh4_orig   ggh4_dest      total
        3120        3171         15
        3400        3414         28
        3466        4378         22
        4051        1510         15
        4114        1404         14
        4129        4378         13
        6053       16485         32
        6058        5048         50
        6227        4304         78
        7018        7134         19
        7077        7060         12
        7141        7157         44
        8154        1256         12
        8263        4091         14
        8707        4380         70
        8834        2017         39
        8889        1416         19

TABLE    : start_time (450)

   ggh4_orig   ggh4_dest      total
        1249        3100         23
        3409        2299         16
        4337        4337         26
        4377        4361         33
        7154        4005         31
        8402        9122          6
        9013        2061         17

TABLE    : start_time (455)

   ggh4_orig   ggh4_dest      total
        1369        5086          5
        2180        3036         13
        3473        3381         19

TABLE    : start_time (500)

   ggh4_orig   ggh4_dest      total
        1012        4177         12
        1024        1477         19
        1029        4149          7
        1045        4180         19
        1048        4230         23
        1072        3224         39
        1156        5053         15
        1186        1364         30
        1201        4109          9
        1201        5132         18
        1212        1010         37
        1229        1284        117
        1314        1300         13
        1318        5048         40
        1323        4276         11
        1344        4378         19
        1352        4144          9
        1361        4223          4
        1370        3098          8
        1375        7068         33
        1383        1459         18
        1387        1005          9
        1422        1201         13
        1423        1147         14
        1438        3256         24
        1456        4378         17
        1525        1050         31
        1530        1117          5
        1539        1511          6
        1566        3404         45
        1583        1588         17
        1583        3233         17
        1600        1622         32
        1625        3064         11
        2004        4379         25
        2014        1161         26
        2097        1166         20
        2107        2003         56
        2109        1612         10
        2118        1297         19
        2131        1138         19
        2138        2005         15
        2139        2003         13
        2139        2036         41
        2156        1490         64
        2160        1115         21
        2165        1365         23
        2181        1522          9
        2182        4378         10
        2191        3378         44
        2196        1095         14
        2223        1537         14
        2287        2315          8
        2299        2044         24
        2301        1001         64
        2303        1478         13
        2311        2256         77
        3033        1411         20
        3051        1148         30
        3085        4304         19
        3087        2061         15
        3097        4385         29
        3108        3001         10
        3116        3061         27
        3130        3025         16
        3173        3381          9
        3179        3222          7
        3183        1316         15
        3185        4304         10
        3258        1383         16
        3259        3184         24
        3266        2304          9
        3273        3068         22
        3287        4208         25
        3355        1545         27
        3364        1527         22
        3367        8557          7
        3400        2003         46
        3405        3398         23
        3406        1491         10
        3416        1356         14
        3424        3404         27
        3427        3390         27
        3431        4109         14
        3445        3346         24
        3453        3438         15
        4017        4216         33
        4020        1039         27
        4022        5053         25
        4036        5145         34
        4051        3100         14
        4054        3392         27
        4076        1319         43
        4080        4294         66
        4095        4159         14
        4107        8885         12
        4121        4249         45
        4148       99998         13
        4151        4308         39
        4162        4092         12
        4177        4156         29
        4177        4234         33
        4199        3068         21
        4245        4313         20
        4251        1175         11
        4251        5155         30
