Thu Oct 12 2023 15:34:20 GMT+0000 (Coordinated Universal Time) - Run Time: 3051ms

Cross Tabulation Query Form - Person - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Income range of household - income


Filters:
No Filters

Persons 2016 
Table: 

,$0 to $14999,$15000 to $39999,$40000 to $59999,$60000 to $99999,$100000 to $124999,$125000 and above,Decline / don't know
200,372,98,135,304,133,1567,1180
201,105,336,472,1279,712,1821,624
202,53,713,786,2016,824,2887,1592
203,79,146,268,967,335,2125,285
204,45,476,534,1573,616,1692,942
205,101,286,120,489,509,2684,1551
206,18,0,54,153,59,1091,585
207,0,11,73,212,48,2889,671
208,0,0,0,0,0,59,0
209,321,661,1413,2229,1596,1209,1545
210,630,736,1289,1506,1062,2188,1325
211,833,2562,2152,3460,1553,2687,1464
212,81,599,517,883,742,2477,809
213,143,25,78,212,83,2460,842
214,31,402,250,690,371,2872,726
215,23,230,183,117,446,1871,654
216,110,338,837,1318,943,4153,1466
217,14,402,397,1150,392,4192,2485
218,0,0,0,99,38,741,123
219,0,581,511,384,708,2663,983
220,72,170,55,520,86,232,55
222,1661,6823,4434,2566,1050,287,2588
223,1458,6433,3353,4331,1614,1377,2895
224,20,0,101,230,190,142,353
225,0,0,0,0,0,179,216
226,0,0,0,88,29,534,289
227,0,0,294,280,380,1609,597
228,428,498,764,1076,354,1394,851
229,192,623,265,445,169,1575,1077
230,336,979,355,1153,487,3045,1782
231,0,31,0,0,0,0,42
232,342,1780,1308,1586,397,795,531
233,1287,3163,1322,1966,876,560,1416
234,485,429,700,1130,878,849,1375
235,0,166,53,289,88,187,145
236,0,75,0,13,132,791,299
237,0,460,563,588,797,2014,1844
238,60,611,555,924,676,1102,959
239,343,1008,1018,2698,1245,2273,1854
241,285,654,606,1079,340,993,909
242,44,154,549,522,297,462,329
243,54,1193,1210,1348,702,744,773
244,400,637,575,1126,330,776,821
245,302,1653,901,981,238,546,1192
247,363,1286,725,1861,592,549,914
248,0,513,423,1029,552,796,522
249,2001,4894,3178,4426,1163,1702,3278
250,928,2102,1763,3677,1594,1574,1790
251,589,1401,767,2545,265,1289,1467
252,105,259,381,757,609,4011,603
253,25,238,394,1150,529,3393,618
254,89,596,429,1461,880,1520,710
255,0,133,489,947,1111,3594,638
256,199,577,1054,1234,509,1483,812
257,174,1408,695,915,971,2942,632
258,579,815,664,1509,698,2425,496
259,163,671,617,678,1034,2253,1260
260,70,145,214,81,0,35,31
261,143,41,101,811,75,854,1477
262,62,180,225,130,577,1615,248
263,0,575,645,1115,716,1613,1508
264,171,631,753,1787,1191,2266,1429
265,117,470,631,895,771,331,468
266,309,678,620,1135,275,1642,690
267,234,247,72,825,286,559,72
268,151,197,91,682,297,1278,221
269,388,808,573,759,491,1561,592
270,47,709,743,2668,1386,3936,773
271,362,1096,539,992,268,2338,1046
272,30,226,18,651,258,2666,352
273,1281,620,545,712,565,1032,566
274,81,271,300,164,350,1188,198
275,263,342,214,101,79,128,113
276,0,325,333,522,10,1037,144
277,21,218,248,208,432,1604,735
278,136,619,437,1375,472,631,284
279,82,423,608,525,567,1249,515
280,0,253,215,184,293,1592,356
281,152,1608,1641,2091,1358,1395,1156
282,346,2984,2699,1590,1139,1919,2034
283,0,0,124,27,0,274,23
284,0,56,238,198,267,316,199
285,302,316,1014,2373,1693,2908,1197
286,251,894,650,927,581,944,1422
287,258,1098,764,2128,1353,2880,1471
288,48,1233,937,1840,1127,1548,849
289,0,534,154,320,15,163,187
290,165,668,743,592,497,1883,380
291,286,850,415,834,239,94,580
293,240,274,173,297,123,315,343
294,190,483,844,1512,383,1565,490
295,315,465,652,1232,338,807,753
296,0,8,0,64,102,0,93
297,169,476,301,1164,466,1243,1494
298,108,779,1138,966,754,1653,928
299,0,0,34,0,0,0,0
300,119,103,308,295,157,426,623
301,112,371,477,1244,464,1698,1482
302,14,117,133,687,248,255,537
303,0,0,0,0,0,43,4
304,88,955,988,728,457,0,1187
305,0,146,320,662,396,2144,1085
306,8,204,320,671,537,1913,1165
307,57,139,92,593,562,1492,733
309,30,101,320,436,254,426,265
312,14,185,387,578,823,723,367
313,900,2064,1419,3237,1607,1080,1788
314,0,15,80,181,215,2106,1262
315,0,60,107,273,322,1767,497
316,177,0,0,374,79,819,610
317,48,69,178,926,124,1242,497
318,0,385,227,453,73,879,461
319,24,229,194,362,327,2567,622
320,0,0,43,57,291,669,537
321,0,524,115,226,263,867,213
322,0,184,190,380,470,1867,1158
323,22,141,123,187,366,1056,556
324,0,423,335,733,488,1048,771
325,86,302,888,916,618,1649,1337
326,157,567,350,752,157,672,287
327,471,798,381,508,156,128,1078
328,73,509,720,2089,288,390,339
329,0,138,270,436,266,1290,429
330,0,123,59,103,25,1122,923
331,46,414,321,674,69,0,340
332,294,790,484,873,216,177,610
333,104,708,308,347,274,729,625
334,19,407,320,707,782,872,700
335,186,198,227,392,316,385,464
336,86,946,737,1216,842,1889,1481
337,17,149,447,1177,637,1392,721
338,0,127,163,466,44,1182,497
339,0,20,0,310,331,847,646
340,39,164,183,278,155,1436,267
341,135,261,494,677,576,624,711
342,129,1913,1383,2017,551,1069,1466
343,0,88,156,264,584,1185,959
344,0,96,22,84,112,1102,267
345,0,473,541,485,289,996,466
346,211,1182,1559,1332,892,944,1537
347,335,476,988,1361,796,520,1578
348,0,140,166,653,339,1182,890
349,34,214,387,1164,197,1342,469
350,597,391,851,941,532,1075,2669
351,136,628,934,220,352,1035,578
352,39,82,148,294,142,669,424
353,454,2049,2301,2200,2070,295,1798
354,0,0,146,0,0,0,0
363,566,1462,785,600,295,449,1649
364,26,434,593,937,291,108,196
365,702,1300,2129,967,208,854,1752
366,246,574,501,1450,627,593,961
367,0,0,20,0,0,0,0
368,272,1663,1131,1035,500,648,1542
369,467,578,62,21,87,32,800
370,21,734,1265,1764,444,1360,238
371,286,1424,738,1244,76,111,1256
372,133,564,926,924,232,231,575
373,1257,1501,612,1458,9,9,1494
374,454,840,1597,786,570,153,340
375,306,736,143,577,669,783,1061
376,213,2143,2118,1445,0,226,681
377,172,71,240,838,175,124,190
378,0,9,0,0,0,0,0
380,71,362,476,492,0,246,218
381,144,299,259,914,119,152,247
382,75,707,1197,1178,670,968,1104
383,1641,4721,3146,2512,883,428,2194
384,50,182,422,643,225,563,936
385,230,2300,2317,1455,605,209,1198
389,927,1322,2698,1230,970,118,1467
390,987,5275,2374,1926,280,242,1414
391,316,231,60,0,0,0,96
395,0,0,0,0,0,93,0
396,673,1379,1258,850,190,217,691
397,447,843,431,492,458,287,573
398,767,2046,327,1120,263,222,523
399,0,581,312,516,63,146,550
400,1048,2530,3445,2313,872,434,2825
401,306,1770,2160,234,109,53,2122
402,275,936,1056,624,546,280,566
403,1178,2878,2260,1869,460,400,1677
404,78,1117,1027,383,483,73,849
405,14,169,527,1197,413,337,527
406,320,1904,660,761,326,201,1057
407,58,1723,428,1462,567,404,1034
408,0,74,0,959,0,0,67
409,496,644,908,360,133,283,253
410,537,690,670,1570,446,639,1243
411,436,1367,1950,1865,609,600,1640
412,65,1696,1983,1528,66,388,1542
413,113,647,1404,1188,269,427,883
414,97,651,553,1139,277,212,1196
415,204,126,586,260,51,84,96
416,45,211,32,0,0,0,0
420,48,118,241,1325,412,371,229
422,33,984,558,852,494,488,1023
423,350,362,221,637,435,404,648
424,29,499,1413,1138,1030,1961,1213
425,98,663,161,629,284,683,385
426,187,555,386,653,60,690,545
427,0,250,549,1307,1794,528,828
428,134,1105,209,2027,956,1089,1585
429,53,80,233,212,569,169,455
430,65,194,527,509,309,87,557
431,551,2198,2599,4143,1221,2449,3336
432,250,931,376,347,212,261,585
433,68,363,77,560,188,446,710
434,17,514,314,318,131,404,870
435,12,799,593,668,455,1517,1082
436,315,1190,1624,1502,343,485,887
437,66,128,211,578,798,1066,1002
438,69,426,175,354,514,899,745
439,99,552,576,573,508,1098,679
440,52,155,214,632,207,1975,1096
441,131,478,763,763,272,2255,495
442,74,752,354,1225,774,1055,891
443,935,1582,1019,2163,431,1841,1246
444,276,557,1223,854,398,601,896
445,137,45,328,321,111,126,174
446,343,837,909,744,618,86,1047
447,89,130,317,526,313,783,365
448,510,429,585,1703,455,514,478
449,113,423,175,272,201,384,19
450,1085,1810,1620,2862,1319,1666,2238
451,100,615,175,169,229,621,425
452,916,1592,1308,2106,1503,1761,1105
453,0,99,306,100,293,706,401
454,1221,1140,1068,2245,1547,2281,1541
455,18,184,773,329,209,444,382
456,207,386,128,1276,455,1031,802
457,301,297,352,695,408,1238,1327
458,83,405,147,458,127,1111,136
459,232,398,203,824,633,1503,531
460,115,589,437,950,893,1148,1067
461,227,675,527,998,432,471,835
462,11,282,54,487,295,1299,923
463,185,563,672,1152,630,1496,1216
464,104,713,331,1852,945,805,1201
465,304,367,531,916,335,244,260
466,140,61,45,804,646,367,518
467,562,2333,2106,2379,1042,2236,2111
468,51,328,365,385,219,812,352
469,386,707,112,664,500,502,537
470,0,431,497,482,371,557,589
471,299,1149,519,1120,404,689,470
472,79,250,489,1032,514,740,372
474,82,350,68,472,446,204,233
475,19,772,183,188,152,250,280
476,233,89,233,209,175,355,734
477,13,377,243,674,246,424,770
478,541,1297,737,1526,715,611,770
479,188,432,663,714,313,703,296
480,254,865,1281,1928,665,450,1386
481,82,1028,1308,489,62,854,959
482,149,1100,414,1640,452,801,1408
483,1087,1798,1557,2946,682,1177,1405
484,123,142,417,588,394,207,453
485,279,920,753,1518,479,477,1389
487,354,3326,1816,2372,579,235,1011
489,0,25,19,25,0,0,47
490,872,1719,1248,2016,820,247,1274
491,255,1240,1674,2083,751,786,866
492,23,35,0,0,0,0,18
494,424,1092,1117,1068,212,63,703
495,32,330,632,1053,270,288,279
496,130,175,831,672,116,39,608
497,281,2557,2307,1623,855,673,736
498,25,136,553,673,339,304,361
499,42,192,336,616,256,123,1151
500,39,166,748,927,0,110,393
501,0,707,500,951,202,0,418
502,106,1033,1092,1342,0,182,795
503,113,726,386,974,656,249,540
504,49,929,606,774,321,199,505
505,424,903,753,563,413,111,447
506,113,2724,870,704,123,197,655
507,26,516,531,798,1084,193,897
508,32,164,185,57,0,0,261
509,177,609,506,1047,455,115,498
510,554,1510,671,1311,35,416,260
511,99,187,60,0,0,0,58
512,152,2468,437,1281,0,242,590
513,44,1346,1007,194,141,561,773
514,307,609,491,1288,762,821,428
515,2073,5662,1237,802,130,90,1808
516,31,178,412,78,145,479,106
517,100,90,659,901,586,365,293
518,144,1136,940,747,373,839,786
519,14,804,382,1073,77,67,207
520,878,2329,710,1809,235,287,787
521,85,383,962,1057,545,603,500
522,21,2215,581,988,256,317,490
523,501,1368,3490,1390,703,198,1146
524,932,2339,1990,2736,362,20,1719
526,0,0,0,0,0,0,223
527,188,201,191,0,0,0,92
528,384,691,370,659,493,1169,690
529,0,140,216,189,0,0,12
530,12,166,247,128,73,0,36
531,1401,2582,963,3411,738,248,1787
532,436,1378,1126,1546,638,921,2106
533,7,394,727,408,279,69,479
534,35,100,706,941,214,195,455
535,47,445,1060,1564,655,263,510
536,1071,583,1371,2191,770,454,393
537,192,1762,824,1179,601,1007,1013
538,2517,3125,3031,1907,611,612,1634
539,29,298,532,761,275,908,409
540,22,168,326,518,361,1810,372
541,107,250,121,689,191,498,209
542,11,379,235,432,203,1329,744
543,264,1054,438,561,181,560,1050
544,7,757,542,859,328,1750,1080
545,256,2106,1324,1226,1267,1022,1461
546,116,178,189,587,530,1116,484
547,23,66,165,517,71,320,218
548,0,454,585,363,190,241,691
549,377,3059,792,573,359,444,371
550,29,329,397,114,35,189,56
551,55,172,50,103,313,359,103
552,914,2500,1387,1614,67,6,1356
553,0,279,203,399,78,176,251
554,69,426,479,614,764,1111,767
555,66,221,500,956,561,1028,631
556,0,0,43,126,0,0,0
557,6,157,588,741,146,102,179
558,108,233,164,708,0,66,107
559,1123,2422,1920,1288,211,1223,1279
560,996,2815,1410,1077,285,472,564
561,146,303,22,0,0,0,343
562,993,2168,1696,1140,217,108,1298
563,0,497,714,1255,416,395,800
564,0,0,55,175,0,93,0
565,0,475,763,761,268,1026,1061
566,0,51,17,89,0,75,303
567,0,59,36,606,49,438,160
568,42,707,1480,1844,621,764,1014
569,38,612,198,662,899,1775,738
570,105,214,982,1680,875,1981,1635
571,301,392,800,1703,1421,3095,1541
572,230,1352,1121,1627,1188,520,394
573,0,306,119,409,545,377,280
574,11,485,322,848,209,822,411
575,210,581,813,900,241,443,1280
577,169,790,48,263,19,70,387
578,107,1037,913,1965,402,64,778
579,425,1280,1401,2036,500,130,625
580,259,680,761,349,123,409,924
581,0,157,148,639,0,141,259
582,185,1003,878,1042,727,340,726
583,284,1010,382,772,276,116,787
584,108,167,266,755,16,421,602
585,64,868,1672,1921,189,523,863
586,269,1528,926,1356,1196,573,769
587,699,1182,1175,1935,1411,993,1571
588,143,1417,1371,2505,391,722,1444
589,85,13,35,42,0,0,76
590,560,1478,1574,1957,886,1476,1976
591,528,1862,2324,3090,1068,1920,3005
592,193,2478,2761,2495,674,859,1660
593,377,2138,1204,1847,356,488,818
594,798,822,560,911,88,328,427
595,506,2016,1700,1867,183,410,1241
596,37,444,607,873,165,498,808
597,109,805,599,1021,518,379,1387
599,53,244,20,108,0,0,189
600,969,4198,2550,4054,841,718,4270
601,118,3118,2336,1990,457,452,1437
602,53,356,528,475,165,294,518
603,45,364,258,453,45,352,598
606,362,1270,2082,1743,1337,807,2202
607,137,2091,264,501,444,243,1021
608,98,1035,1783,2607,370,134,1000
610,4,0,0,0,0,0,30
611,316,562,192,158,77,10,28
612,0,21,0,0,0,33,0
613,906,2838,774,2220,810,332,2373
614,0,0,15,421,0,0,15
617,6,690,1704,2146,540,1177,1438
618,37,686,841,1756,435,1054,1252
619,431,2105,1129,1711,204,0,2150
620,909,1904,3073,1553,646,626,1096
621,291,2946,2200,1657,775,85,1482
622,0,317,863,845,1123,1850,875
624,335,159,336,897,648,581,755
625,0,0,87,34,0,98,93
1001,0,0,0,6,0,106,6
1002,15,62,28,184,15,1029,672
1003,6,21,197,22,24,93,127
1007,0,3,0,0,18,0,0
1008,6,0,174,25,0,0,6
1009,0,0,0,0,0,0,6
1011,0,0,130,0,0,0,0
1012,8,42,0,8,8,12,12
1013,0,0,0,71,0,0,0
1014,0,0,6,0,0,0,0
1017,0,0,12,38,0,131,9
1018,0,0,25,0,0,51,0
1019,0,0,0,6,42,265,6
1020,0,0,0,6,0,0,0
1021,0,0,11,0,0,0,0
1024,0,0,25,0,0,54,155
1025,0,0,8,0,0,0,0
1027,0,0,0,0,0,0,9
1028,0,79,38,599,504,325,227
1029,0,157,815,1392,555,615,430
1030,0,31,31,467,261,1572,115
1031,41,285,320,440,481,672,645
1032,8,672,545,1462,416,766,1426
1033,0,32,0,0,120,743,282
1034,86,339,206,1397,752,2156,730
1035,58,287,722,2456,493,2645,1421
1036,0,29,365,549,628,1557,1100
1037,0,245,164,950,474,2429,1191
1038,0,119,548,1164,609,2195,1066
1039,40,330,1041,1152,929,894,1268
1040,0,221,44,967,1388,270,61
1042,0,0,30,0,0,0,57
1043,121,511,955,702,611,123,1243
1044,52,778,462,672,357,138,349
1045,0,146,322,617,0,87,153
1046,107,68,844,973,668,1624,1181
1047,0,78,385,659,172,1666,567
1048,0,23,0,0,227,0,0
1049,7,416,1213,1096,485,1332,1185
1050,4,379,150,1213,492,843,491
1052,73,203,938,600,699,1075,289
1053,0,0,0,0,0,28,0
1057,0,0,0,0,0,216,260
1058,0,0,0,0,0,0,28
1059,0,0,0,26,58,83,19
1060,157,1285,613,1859,1710,1405,1779
1061,207,668,419,1649,809,2811,547
1062,0,188,623,834,950,877,1057
1063,0,359,512,1473,1424,1584,1165
1064,0,0,42,107,91,824,74
1065,191,202,615,935,985,1305,341
1066,0,0,0,0,78,0,0
1067,15,177,63,615,246,539,486
1068,408,345,271,1020,581,1009,512
1069,10,782,861,2797,774,989,1505
1071,0,0,0,19,0,0,0
1072,0,1119,978,1888,437,417,1083
1073,0,0,0,0,0,0,49
1074,78,128,191,532,435,1210,549
1075,12,617,844,2049,1642,2429,2444
1076,52,350,972,979,478,917,882
1080,0,113,227,130,102,23,172
1081,110,106,32,156,223,259,326
1082,0,395,768,1360,726,1093,1092
1083,0,26,114,739,193,150,14
1084,9,63,197,621,690,231,483
1085,0,0,292,51,281,228,129
1088,0,0,49,613,110,0,340
1089,78,391,236,1413,65,716,504
1091,0,0,0,0,0,0,28
