Thu Oct 12 2023 15:34:20 GMT+0000 (Coordinated Universal Time) - Run Time: 3051ms

Cross Tabulation Query Form - Person - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Income range of household - income


Filters:
No Filters

Persons 2016 
Table: 

,$0 to $14999,$15000 to $39999,$40000 to $59999,$60000 to $99999,$100000 to $124999,$125000 and above,Decline / don't know
1213,44,412,401,875,216,23,1093
1214,6,196,379,427,0,25,212
1215,81,842,223,263,439,0,881
1216,177,740,724,781,839,365,645
1218,0,6,19,0,0,15,0
1219,197,2362,1264,536,0,0,458
1220,982,328,1721,1303,282,465,963
1221,197,410,247,543,59,55,390
1222,86,625,726,1825,314,148,513
1223,6,23,68,197,0,0,63
1224,0,129,152,332,60,0,0
1226,0,9,279,491,367,83,616
1227,0,0,110,86,0,139,153
1228,0,82,238,510,206,280,105
1229,0,32,16,574,94,292,122
1230,0,0,21,0,0,10,0
1231,0,0,0,0,32,289,0
1232,0,8,0,0,32,141,110
1233,4,23,32,191,57,155,85
1234,0,105,34,297,244,222,17
1235,0,46,22,0,64,166,83
1236,0,0,79,0,14,63,8
1237,23,125,85,779,77,277,387
1238,10,412,392,1463,547,1225,748
1239,0,15,8,32,0,0,0
1240,10,114,28,337,364,669,217
1241,0,572,1460,3640,2297,4048,1596
1242,0,122,203,272,149,456,164
1243,0,0,423,462,536,1487,381
1244,0,0,0,0,0,18,32
1245,0,15,0,0,0,81,71
1246,0,0,0,0,0,26,0
1248,0,10,0,0,0,0,0
1249,0,4,8,9,245,0,248
1250,0,15,139,131,63,0,0
1251,0,0,0,0,0,0,117
1253,0,0,125,403,112,427,151
1254,10,470,1179,1860,1029,2126,1377
1256,0,0,32,66,160,132,156
1258,52,364,940,1032,1271,3401,710
1259,18,97,140,1623,2020,1229,699
1260,40,278,265,265,124,307,78
1261,64,202,1205,1566,724,1722,1327
1262,0,137,499,1490,517,743,1159
1263,83,36,190,268,40,219,228
1264,5,192,338,189,51,14,350
1266,0,0,0,31,95,14,0
1267,0,0,12,0,0,41,0
1268,15,0,0,0,0,0,0
1269,0,4,46,0,0,0,0
1274,0,302,103,281,46,62,282
1275,0,33,24,38,0,71,0
1276,0,12,0,22,0,17,46
1277,18,0,17,326,17,83,181
1278,0,64,119,168,422,699,328
1279,0,72,101,791,17,0,178
1280,0,43,180,136,207,112,200
1281,0,123,52,126,0,516,105
1282,0,0,68,54,0,0,17
1283,0,23,0,0,65,0,27
1284,0,0,54,0,0,0,0
1285,0,68,82,0,0,0,0
1286,0,68,192,544,630,794,405
1287,41,69,113,1124,191,1363,685
1288,0,148,175,57,0,0,111
1289,0,26,74,555,339,536,592
1290,0,0,163,176,82,198,26
1291,0,28,0,0,27,141,68
1292,0,0,0,40,243,0,0
1293,0,0,44,44,27,601,26
1294,0,42,258,287,159,358,171
1295,0,78,341,382,162,189,231
1297,0,0,0,32,0,46,224
1298,0,0,0,50,30,74,102
1299,14,333,215,932,204,1229,955
1300,50,32,242,405,162,1021,209
1301,17,31,163,150,88,310,157
1302,0,24,40,652,0,46,76
1303,424,16,136,270,36,78,57
1304,0,280,164,356,306,630,383
1305,50,224,317,411,574,813,618
1306,0,0,8,104,72,225,178
1307,0,18,18,132,0,30,131
1308,23,30,0,27,233,0,26
1309,0,119,250,310,75,204,40
1310,20,106,74,268,25,370,234
1311,0,61,163,240,15,272,93
1312,0,42,88,307,188,798,333
1313,28,45,79,103,650,150,309
1314,0,110,0,277,408,616,387
1315,110,0,48,180,160,716,541
1316,0,0,79,0,46,675,47
1317,178,259,96,644,396,3056,657
1318,115,662,465,1122,619,1059,1010
1319,0,14,17,100,53,501,476
1320,34,28,92,173,36,280,10
1321,0,92,23,0,68,152,0
1323,0,0,19,360,0,0,49
1324,0,16,60,85,0,0,20
1325,189,454,286,608,275,270,647
1326,0,58,67,29,15,438,30
1327,0,44,0,0,0,0,0
1328,175,26,196,287,117,0,566
1329,36,164,0,36,0,0,38
1330,19,205,121,464,503,202,696
1331,0,91,0,580,193,417,76
1332,20,0,0,212,77,0,0
1333,38,30,98,134,193,259,0
1334,0,142,33,278,67,148,357
2011,0,0,42,0,0,0,0
2013,47,73,214,1198,707,904,503
2014,48,0,18,585,427,1357,181
2015,0,7,0,0,0,0,28
2016,0,0,21,83,0,58,281
2017,0,0,0,32,51,193,210
2018,0,57,0,29,27,356,50
2019,0,70,47,89,25,178,206
2020,0,23,0,215,155,113,117
2021,0,0,0,0,0,91,0
2022,98,707,1309,2399,2096,4447,3530
2023,41,279,374,477,687,1632,1201
2024,32,95,116,280,102,1453,533
2025,0,122,289,387,112,950,543
2026,65,117,14,348,358,682,557
2027,73,572,555,1502,578,794,2292
2028,29,244,864,576,1044,1667,1023
2029,16,19,96,130,23,0,0
2030,135,205,513,481,378,289,380
2031,13,0,13,0,0,0,0
2032,0,0,0,0,0,40,0
2034,0,0,0,0,0,0,52
2035,0,0,172,248,32,61,66
2036,0,0,241,499,112,291,553
2037,0,0,15,0,0,0,0
2039,0,140,0,30,0,0,93
2040,0,82,13,579,206,99,664
2041,0,36,0,282,17,315,953
2042,0,356,291,446,376,1317,1074
2043,0,125,182,103,0,83,242
2044,0,0,151,47,36,352,205
2046,0,0,0,0,0,176,25
2048,21,0,0,59,0,0,0
2049,0,0,0,42,0,35,0
2050,0,21,15,0,0,115,0
2051,0,0,0,43,201,177,298
2053,0,286,324,1035,1041,2929,1485
2054,0,263,93,1421,1655,2345,2347
2055,46,1156,920,3197,1517,3056,2413
2056,0,52,140,132,155,696,355
2057,33,284,360,512,512,2354,1463
2058,143,292,952,691,348,1103,1604
2059,0,191,49,177,116,398,395
2060,20,263,844,665,953,1749,1977
2061,0,125,244,545,196,146,749
2072,0,310,866,1966,1384,1869,1531
2073,78,177,254,1252,941,889,783
2074,0,0,0,191,77,271,99
2075,0,0,0,0,0,0,14
2076,0,0,0,0,0,77,0
2078,148,454,1402,2534,865,1566,2892
2080,0,379,243,599,281,143,247
2093,0,0,132,37,177,0,54
2096,0,25,0,0,0,89,0
2097,0,17,0,177,120,67,17
2098,331,932,1292,2767,1688,1222,1737
2099,47,116,703,1313,493,1561,609
2100,244,166,1116,1866,365,998,847
2101,0,728,1183,2217,2587,3713,2247
2102,0,0,0,96,0,20,0
2103,0,0,0,0,0,0,78
2104,0,78,404,1001,652,2300,1180
2105,0,5,363,95,67,168,343
2106,0,0,0,26,0,33,53
2107,40,290,479,824,863,959,1529
2108,8,339,795,1649,1822,4086,1306
2110,40,114,898,1727,1067,1342,624
2111,0,114,0,385,298,228,155
2116,0,51,20,266,53,64,757
2119,0,97,14,0,0,0,0
2120,32,463,739,1814,516,688,990
2121,238,703,1343,1444,1035,588,1385
2122,0,624,1006,1157,406,1110,2099
2123,206,260,330,830,908,1349,1579
2124,131,293,390,865,188,115,779
2125,140,912,712,669,102,597,938
2126,26,36,521,34,26,1619,476
2127,0,554,119,484,152,1998,946
2128,36,312,400,1175,753,3522,867
2129,0,205,340,780,982,1948,1285
2130,0,11,225,60,39,712,327
2131,181,197,103,532,663,1321,793
2132,0,46,370,317,503,1538,509
2133,123,154,586,1044,703,2286,1286
2134,0,0,0,0,164,1119,10
2135,54,222,87,764,624,2002,964
2136,0,11,56,125,157,594,244
2137,0,0,0,22,35,160,96
2138,0,26,0,0,0,0,0
2139,43,565,486,1339,482,981,884
2140,0,136,42,348,0,245,21
2141,154,755,1223,1717,835,2529,2033
2142,75,378,618,1069,757,1426,1314
2143,26,117,316,603,424,1343,710
2144,0,0,0,246,195,363,956
2145,0,65,80,14,65,140,45
2201,15,0,0,0,0,0,0
2202,0,0,213,0,182,138,282
2203,0,71,176,78,201,453,426
2204,0,311,14,309,315,551,411
2205,121,51,39,588,567,954,851
2206,156,199,290,915,700,1073,627
2207,80,581,216,459,276,364,509
2208,11,194,237,892,526,605,952
2209,132,369,852,1299,366,1138,868
2210,0,15,471,236,415,1077,327
2211,69,211,109,246,92,532,263
2212,0,255,0,428,246,1680,1076
2213,83,545,531,741,348,955,427
2214,99,102,109,440,745,1494,556
2215,0,27,180,1257,333,1022,606
2216,17,110,406,914,1009,1750,1986
2217,71,0,326,847,316,339,1281
2218,0,404,493,1395,1323,1924,1043
2219,0,7,6,238,6,802,511
2220,0,425,391,478,696,814,316
2221,30,181,394,348,475,820,560
2222,43,216,279,1104,543,2548,2126
2223,0,0,0,361,104,336,31
2224,0,200,82,147,445,697,758
2225,107,94,149,590,190,391,583
2226,31,391,240,731,1490,1658,490
2227,0,0,173,0,211,751,246
2228,0,0,25,62,196,158,148
2229,40,189,210,619,295,464,432
2230,46,322,359,218,69,834,414
2231,55,187,114,281,585,351,302
2232,387,262,517,1431,894,1638,971
2233,0,0,16,178,0,0,54
2234,0,77,33,0,106,33,129
2235,0,96,74,905,529,1858,637
2236,255,684,705,1373,338,905,491
2237,110,545,660,705,383,308,435
2238,138,165,714,444,107,1178,550
2241,250,1093,718,595,218,687,874
2242,100,233,889,758,656,391,678
2243,60,16,282,356,155,304,383
2244,451,1140,1495,1856,744,1038,1484
2245,97,1183,2053,1082,279,1285,1068
2246,217,295,453,511,54,233,253
2247,85,263,257,1010,470,634,871
2248,367,1194,1077,1952,840,1685,1673
2249,10,82,23,11,14,97,12
2251,190,378,883,778,563,1146,907
2252,195,168,528,1215,776,1712,1311
2255,0,168,836,606,631,2288,1767
2256,0,70,250,257,302,1097,983
2257,390,1792,984,2204,1535,2551,1725
2258,332,631,857,999,931,2067,1484
2259,0,0,55,31,0,0,0
2260,0,0,0,0,0,0,15
2261,0,122,0,67,0,71,463
2263,0,0,0,49,0,0,0
2264,0,20,0,0,0,0,0
2265,0,0,0,0,0,0,18
2266,0,0,0,0,0,85,58
2272,195,194,272,292,0,221,401
2351,413,512,837,331,494,181,931
2352,0,120,119,566,156,372,1090
2353,55,1365,419,552,983,423,429
2354,0,52,244,1081,34,166,402
2355,0,8,0,42,55,229,34
2356,121,460,188,800,474,597,461
2357,16,138,277,348,288,70,559
2358,13,158,118,324,102,607,86
2360,0,36,178,218,187,693,72
2361,23,0,0,0,0,12,0
2362,218,873,719,923,622,1944,1312
2363,153,366,143,1078,767,417,480
2364,27,0,44,488,45,227,681
2365,66,202,149,530,882,524,296
2366,19,348,562,1349,882,1196,719
2367,460,101,128,229,438,1958,1432
2368,482,1012,863,1625,319,632,1038
2369,0,15,0,0,0,0,0
2375,0,47,12,88,75,113,124
2376,171,546,559,775,588,559,628
2377,99,561,452,1440,398,1094,1125
2378,6,130,210,440,275,1142,598
2379,31,0,0,0,0,0,56
2380,0,274,287,616,251,1382,774
2381,0,77,0,0,0,0,0
2382,13,0,28,217,132,1007,226
2383,223,489,458,845,711,1273,1351
2384,40,145,235,374,359,1623,809
2385,0,93,0,68,0,56,228
2386,346,460,428,587,332,1472,1690
2388,418,1277,854,879,246,320,209
2389,0,0,0,44,25,20,0
2390,611,278,452,568,174,76,235
2397,70,221,1175,417,340,559,1278
2398,0,494,1005,385,773,637,647
2399,608,483,998,1377,327,0,522
2402,20,135,298,535,0,0,129
2405,167,648,1243,884,357,519,729
2406,0,0,122,0,0,0,33
2407,0,0,192,0,0,124,0
2408,42,1101,581,377,478,1149,1121
2409,13,197,266,567,391,1296,798
2410,94,174,64,515,439,1151,900
2411,0,355,334,347,121,414,549
2412,0,312,275,179,126,632,386
2414,3,7,0,0,0,0,38
2415,0,14,11,7,0,0,55
2416,0,3,0,7,7,0,0
2417,183,1052,1173,2053,1726,1963,2244
2418,564,1632,1181,2966,1026,2664,2012
2419,131,546,349,1058,1574,2343,1237
2420,249,224,444,545,336,382,496
2421,13,0,45,0,0,0,0
2422,57,313,208,964,0,306,714
2423,606,580,510,1788,992,368,1757
2424,13,257,680,918,110,902,299
2425,262,1882,1528,1875,988,1102,2814
2426,459,2154,2052,1599,365,1142,1710
2427,574,2019,1425,3227,952,1579,2290
2428,248,2882,2605,2829,1076,1273,2175
2430,28,578,149,229,184,159,256
2432,117,502,355,361,385,305,723
2433,248,946,1077,2278,1070,1997,2368
2434,463,979,940,2225,1786,2206,917
2435,399,735,1541,3067,1200,1883,2003
2437,0,0,0,10,0,0,14
2438,0,7,137,70,0,101,27
2439,0,0,0,0,0,0,7
2440,108,1138,1442,1468,1139,2275,1669
2441,31,898,508,1927,864,1110,918
2442,115,291,364,1108,816,2254,1026
2443,21,96,473,287,348,1317,636
2444,0,432,177,670,326,391,472
2445,66,106,114,390,724,937,855
2446,0,0,102,68,175,69,234
2447,0,173,156,716,424,1546,425
2448,17,50,405,948,532,1331,858
2449,107,1149,634,2183,1239,292,1096
2450,0,0,0,0,128,0,15
2451,18,577,1602,2087,1160,1360,1978
2452,0,0,25,26,0,0,0
2453,0,0,114,679,181,167,151
2454,46,563,1124,3163,1438,2460,1389
2455,145,650,599,1287,862,1199,1046
2457,95,77,356,877,1133,230,521
2458,0,0,0,0,0,0,3
2459,0,0,0,0,285,0,0
2460,0,0,0,59,0,0,0
2551,0,20,0,223,145,67,672
2552,0,308,270,348,527,1087,912
2553,0,83,290,522,722,2898,1445
2554,63,1161,569,1517,753,1074,1329
2555,0,527,926,1024,358,1240,1102
2556,0,0,47,211,98,770,901
2557,40,284,154,275,118,0,277
2558,28,271,339,469,529,1530,615
2559,0,0,0,20,0,0,19
2560,26,338,677,2327,740,1592,971
2561,0,139,46,233,129,190,457
2562,0,12,0,41,0,0,0
2563,0,242,171,357,474,736,230
2564,0,36,59,125,60,853,158
2565,0,0,9,126,0,209,16
2566,0,0,12,183,167,303,1072
2567,0,0,0,0,0,9,0
2568,0,0,0,25,9,527,378
2569,0,285,1072,1173,750,3269,1800
2570,121,129,154,698,489,660,432
2573,0,0,0,9,0,77,0
2574,0,0,0,0,0,26,0
2601,0,57,237,169,30,448,312
2602,25,199,149,1104,545,744,261
2603,419,340,152,935,1416,1776,907
2604,0,95,68,219,369,325,423
2605,83,122,408,297,309,1689,1412
2606,0,0,53,152,0,119,55
2607,0,117,1336,1398,791,1874,442
2608,99,321,602,822,1227,1028,514
2610,122,35,249,1189,553,1819,951
2611,9,692,189,898,775,345,590
2612,19,74,33,143,139,127,39
2613,125,563,532,912,258,1051,471
2614,0,260,161,667,440,178,535
2615,131,313,508,414,116,710,337
2616,13,220,286,1126,587,1575,369
2617,0,54,235,289,276,924,123
2618,104,428,639,1322,439,2481,1432
2619,69,615,553,1751,1173,2146,1655
2620,29,219,610,270,388,575,586
2621,182,236,434,520,632,331,571
2622,353,413,74,921,727,1607,1587
2625,115,482,447,697,520,1709,1064
2651,0,0,37,20,0,127,17
2652,0,64,0,77,621,407,253
2653,0,77,77,370,213,1180,362
2654,0,0,37,0,0,0,68
2655,0,0,28,90,31,184,36
2656,0,0,0,498,291,164,201
2657,0,0,0,34,0,141,0
2658,0,0,0,0,0,0,27
2659,0,219,339,261,252,1419,2369
2660,0,0,99,20,27,54,27
2661,0,0,0,233,117,217,31
2662,20,0,57,98,381,1395,165
2663,0,71,0,0,0,0,40
2664,0,149,297,360,152,250,571
2665,0,0,77,0,0,0,0
2666,0,0,16,363,303,679,462
2667,43,23,0,306,0,373,391
2668,0,0,0,0,0,29,0
2669,0,27,46,114,347,330,214
2670,0,0,0,87,24,344,113
2671,16,16,254,148,298,524,383
2672,161,38,16,907,304,645,525
2701,22,69,0,0,0,0,83
2702,67,0,141,70,250,919,907
2703,0,0,0,0,0,0,56
2704,0,24,226,544,172,981,814
2705,0,0,53,28,28,499,208
2706,43,0,25,123,0,154,192
2707,0,0,0,146,0,0,0
2708,98,198,338,1301,889,1488,884
2709,271,105,449,1286,293,852,627
2710,6,320,1401,3788,1422,2304,2367
2711,180,75,91,0,185,454,248
2712,5,67,1077,738,582,1232,567
2713,0,672,1021,1517,573,1559,212
2714,0,0,131,139,75,0,120
2715,0,27,33,33,0,555,63
2716,0,0,27,0,0,0,165
2717,0,67,139,623,157,1231,529
2718,0,186,174,234,290,684,805
2751,39,0,48,388,189,145,299
2752,0,9,182,6,208,105,134
2753,0,0,0,0,113,0,0
2754,0,9,0,0,0,203,99
2755,0,21,63,241,209,977,644
2756,187,0,41,12,0,30,160
2757,0,0,5,0,31,0,0
2758,0,0,0,144,0,265,0
2759,0,0,0,204,0,501,206
2760,55,576,483,771,798,1426,1159
2763,0,0,0,0,158,307,0
2764,0,48,0,40,0,0,0
2765,0,16,0,186,117,76,0
2766,0,5,0,69,0,0,0
2767,0,0,0,0,0,209,0
2770,0,0,0,0,0,178,0
2771,0,0,0,123,0,0,0
2772,0,40,0,93,139,956,251
2773,0,0,16,0,0,0,0
2774,0,0,60,82,103,610,126
2779,7,0,43,34,35,89,190
2780,0,38,6,359,69,231,102
2781,11,177,165,261,306,371,427
2782,0,33,97,171,175,110,511
2783,98,122,471,610,611,2046,501
2852,27,166,562,1199,256,125,198
2853,0,160,485,594,312,380,249
2854,25,816,578,573,847,651,251
2855,10,539,392,429,621,625,692
2856,0,5,0,9,0,0,120
2857,6,20,63,164,0,45,68
2858,0,0,55,26,29,0,77
2859,181,513,196,773,465,2462,368
2860,9,124,56,497,116,639,243
2861,63,864,699,1550,221,846,1029
2863,10,169,119,514,1573,315,532
2864,0,128,15,429,511,165,134
2865,0,0,0,0,0,0,25
2866,0,25,107,457,359,160,214
2867,72,69,176,521,239,303,851
2868,354,490,750,1274,531,741,463
2869,89,120,140,441,362,275,253
2870,10,54,10,105,163,123,158
2871,20,45,177,53,360,207,328
2872,0,19,23,55,29,223,29
2873,0,109,237,862,121,29,108
2874,0,0,20,43,86,240,68
2875,53,29,25,23,0,126,23
2876,19,97,108,519,254,81,288
2877,0,142,49,276,298,35,64
3001,0,0,22,177,0,0,48
3002,0,29,25,132,130,397,36
3003,0,0,0,130,91,131,88
3004,0,0,0,0,0,402,0
3005,0,12,144,0,0,0,25
3007,0,191,190,256,353,636,377
3008,0,7,152,562,337,319,162
3009,0,0,0,166,0,0,0
3010,0,104,236,1512,448,1894,1086
3011,0,76,0,134,0,341,59
3012,0,0,0,48,75,0,0
3013,0,0,169,0,0,0,0
3014,0,0,0,0,0,27,0
3015,0,138,49,51,149,0,403
3016,0,41,25,0,0,0,78
3017,0,50,0,0,30,293,50
3100,0,114,114,346,506,1063,449
3101,0,18,0,163,0,56,287
3102,14,111,46,170,978,1609,328
3103,37,6,42,56,0,314,427
3104,0,8,37,131,104,659,258
3105,0,68,47,48,271,261,140
3106,0,0,0,112,56,268,21
3107,0,30,16,283,297,76,149
3108,0,38,21,12,163,230,91
3146,0,184,185,103,321,36,167
3151,0,49,103,559,19,324,144
3152,71,14,0,221,57,124,815
3153,0,168,640,1147,779,493,767
3188,0,0,12,81,20,21,161
3189,0,16,201,115,173,29,154
3190,112,211,432,643,505,1290,1159
3192,80,118,260,1617,1220,1477,1646
3193,54,69,384,1299,2140,1772,1336
3194,36,280,405,584,516,1301,1344
3195,0,52,63,43,244,810,28
3196,0,34,25,216,826,335,472
3197,4,208,235,575,164,1870,457
3198,0,0,18,117,48,159,32
3199,12,291,472,306,438,1581,278
3323,0,49,311,730,417,2381,1954
3324,973,2795,1894,2782,833,1149,2996
3325,1188,1361,780,1320,745,512,1582
3326,0,7,23,253,7,478,60
3331,0,0,0,0,0,0,185
3334,0,0,483,1185,237,68,395
3335,0,449,359,1895,81,120,246
3336,0,0,132,228,0,329,0
3337,122,2137,3500,7255,2156,1594,3934
3338,0,255,453,541,160,271,91
3340,0,24,24,0,0,0,0
3343,0,64,0,0,97,0,0
3344,20,505,900,586,201,303,112
3345,32,443,620,267,643,524,163
3346,875,388,1184,1737,469,1372,1675
3347,388,578,731,748,257,404,376
3348,7,81,101,197,24,618,379
3349,0,46,160,388,86,68,59
3350,89,160,95,45,83,119,230
3351,167,456,215,304,164,199,431
3352,111,1103,424,508,31,139,90
3353,0,0,0,126,0,0,0
3354,116,459,1033,1983,916,1284,539
3355,1286,1190,2564,1657,324,521,1141
3356,50,801,1161,2631,981,464,1632
3357,688,2613,1311,813,107,0,468
3358,21,360,1014,1767,594,311,297
3360,170,945,742,1177,1017,617,829
3361,6,1517,1062,1740,457,422,430
3362,0,47,393,265,306,238,212
3363,160,1013,1573,2797,742,763,1531
3364,61,653,1827,2901,1005,466,1336
3365,288,262,467,3263,1105,919,1663
3366,561,165,1349,3534,765,846,2171
3367,269,1878,1833,2008,519,227,1702
3368,51,937,1024,1547,866,2660,1991
3369,32,768,1962,3812,2102,1502,1581
3370,4,447,1986,2116,685,756,1245
3371,21,1145,2383,3079,580,1129,2238
3372,96,516,1479,1152,2546,1297,1380
3373,14,490,1557,2754,1470,1094,1560
3374,0,148,43,918,529,373,658
3375,863,605,2889,5766,2740,2094,3337
3376,553,672,1674,3376,646,742,1904
3377,0,503,328,881,389,904,606
3378,224,159,613,2123,537,1604,1505
3379,81,610,1160,2591,797,496,675
3380,5,745,2181,5889,1270,2267,2051
3381,0,351,50,164,87,390,385
3384,0,24,664,1625,343,293,1092
3385,0,720,2694,2133,295,1340,1311
3386,0,1676,3295,4280,1814,1627,2240
3387,0,125,56,148,153,125,231
3417,114,387,1016,1567,1008,268,487
3418,28,1306,2047,2623,1400,1591,2701
3419,71,1993,3481,4333,1841,1068,2675
3420,0,812,941,1649,1032,1202,824
3422,13,0,0,0,0,0,0
3424,0,0,0,0,0,15,0
3425,17,276,581,495,241,251,285
3426,0,0,0,0,0,0,78
3427,31,0,3,178,0,231,20
3428,0,0,0,0,0,254,46
3429,0,387,759,1751,998,1279,1589
3430,41,285,510,700,1701,1984,1138
3431,0,653,859,1708,908,1040,416
3432,46,378,1056,2092,1052,1155,1051
3433,0,0,0,0,7,0,0
3434,34,1378,1318,3863,1181,1562,1173
3435,0,128,141,226,234,319,168
3436,0,1430,2067,3173,1797,1420,1966
3437,0,161,139,80,0,63,63
3438,0,0,0,14,0,0,0
3439,0,576,250,970,134,134,305
3442,0,199,371,1087,878,1777,1039
3443,0,0,0,720,733,476,559
3447,148,317,612,1049,554,1224,691
3448,26,364,529,1326,1483,1140,1708
3449,81,648,846,789,400,816,537
3450,0,16,0,0,0,0,0
3452,0,0,0,120,14,12,7
3453,0,0,0,0,50,105,0
3456,0,229,1562,1851,1571,566,1108
3458,97,381,611,1810,203,522,1204
3459,51,871,434,1131,1975,1393,1404
3460,17,77,678,924,677,2209,703
3464,0,352,224,1028,659,1186,691
3465,10,33,116,155,231,602,315
3466,18,167,521,945,513,267,397
3467,216,1115,799,1949,1147,1203,939
3468,0,70,1070,1086,39,1410,1874
3469,82,196,862,491,154,2353,274
3470,0,0,0,61,231,38,234
3471,0,0,67,0,0,11,51
3472,0,9,107,125,0,0,11
3477,0,7,5,14,21,187,56
3479,0,0,12,93,105,160,317
3481,0,350,602,393,516,703,345
3482,0,622,770,1067,380,296,286
3483,8,0,12,1043,325,257,125
3484,138,851,208,1456,641,506,971
3485,0,0,696,967,511,388,592
3486,9,72,1145,1249,556,466,868
3487,0,557,890,701,479,530,336
3488,54,451,231,161,196,22,184
3489,0,21,184,134,65,198,98
3490,122,52,24,155,4,9,74
3491,216,143,491,494,55,307,584
3492,0,134,222,583,230,80,281
3493,32,354,1005,1407,753,146,2172
3494,64,295,370,392,629,783,352
3495,46,49,318,1226,83,212,246
3496,113,753,789,1717,654,526,1394
3497,78,66,0,92,0,0,0
3500,5,76,675,382,578,955,444
3505,40,405,605,1719,719,1180,561
3506,23,408,548,1217,19,592,881
3510,0,125,197,357,56,19,308
3511,87,262,872,1141,840,349,925
3512,0,218,693,207,201,195,81
3515,140,973,1142,1499,122,535,467
3516,0,236,857,612,1120,533,1278
3517,9,13,2106,1454,1110,1763,1881
3518,0,739,1300,2352,1119,277,406
3519,0,0,415,1894,152,239,270
3520,0,17,71,164,0,237,48
3601,0,100,22,151,108,144,78
3602,133,733,614,1936,1174,2013,1714
3603,61,323,257,694,880,2046,1366
3604,144,956,301,1977,613,1983,2849
3606,410,914,1388,3390,1310,2894,2800
3607,277,1468,1953,2703,1292,1206,2374
3610,288,431,280,1250,64,737,898
3614,189,948,1345,3032,704,264,1635
3615,19,205,1076,2891,2957,4700,3374
3616,50,503,1245,2118,1678,3285,2612
3617,0,135,397,1227,1408,1874,1205
3618,16,97,548,436,453,874,494
3619,26,272,1240,2177,1764,2755,2053
3620,151,982,1966,4691,2101,2733,1917
3622,67,288,488,566,320,1031,767
3623,0,232,113,394,554,885,342
3627,0,1157,96,52,0,0,19
3628,427,820,1708,1539,461,643,733
3629,262,1758,1705,1906,398,414,1260
3630,156,366,2467,1954,126,114,1592
3631,71,0,15,0,0,229,475
3632,0,26,44,186,0,0,34
3633,0,25,32,4,137,128,177
3634,47,18,47,0,0,0,0
3635,0,108,371,850,655,1350,1151
3636,320,344,885,1790,532,1111,505
3637,52,164,377,1019,652,1124,779
3638,52,166,325,999,903,1014,1203
3640,274,344,369,1321,1013,2170,890
3641,385,578,574,1122,365,2189,1077
3642,117,479,656,942,228,1333,819
3643,102,649,410,1373,501,857,847
3644,0,754,707,1379,38,741,990
3645,0,146,134,280,238,1756,550
3646,417,120,169,685,282,4769,1556
3647,0,47,125,141,117,1499,1000
3648,56,245,182,1100,1082,2025,1632
3649,47,439,804,1973,1578,2719,1035
3650,46,385,793,1271,1172,2165,1612
3651,0,227,115,337,400,3124,855
3652,32,181,41,132,459,796,365
3653,614,2954,1846,2352,777,1062,2279
3654,23,105,658,919,294,2193,838
3655,229,289,788,1383,622,984,1450
3656,19,545,523,332,634,952,948
3657,319,2024,1021,1733,304,229,1572
3658,15,143,410,255,37,36,648
3659,381,667,237,483,163,606,695
3661,0,24,27,22,0,0,0
3662,6,584,1197,1783,750,1038,1286
3663,441,561,516,767,434,1079,887
3664,961,2098,2156,1782,700,947,3102
3665,194,355,201,1556,282,411,512
3666,138,297,48,33,39,105,178
3667,110,139,268,645,58,44,246
3668,253,826,1618,1886,880,1400,1304
3669,265,1857,1451,1075,1521,1737,2792
3670,744,1469,1504,1465,1203,627,1331
3671,695,1052,1327,1989,656,616,1253
3672,112,390,659,899,254,973,994
3673,25,140,155,466,390,289,673
3674,202,709,800,2336,719,943,1232
3675,404,2061,2441,1955,710,1024,1729
3676,245,67,506,897,364,557,1252
3677,113,281,510,324,450,1362,765
3678,302,409,1491,2881,788,1717,1412
3679,493,1001,448,902,518,328,389
3680,281,760,1240,1945,1223,752,825
3681,27,246,686,691,889,1194,731
3682,22,795,284,1204,650,1575,1292
3683,4,414,314,740,418,1267,984
3684,19,80,394,670,310,1300,700
3685,744,1936,1462,2891,1852,1929,2246
3686,234,695,851,2566,1400,1616,1550
3687,109,502,564,1365,509,943,693
3688,177,650,1131,1523,1157,1976,1350
3689,449,619,819,1314,1015,871,1489
3690,203,1125,2054,4467,2994,2859,2088
3691,741,1076,1047,4465,1707,2507,2172
3692,0,162,15,81,176,245,36
3694,0,759,612,2102,1229,2956,1727
3707,0,45,11,39,48,43,875
3711,0,150,350,277,29,0,0
3712,91,542,716,903,26,152,1294
3714,458,1002,1073,1578,1355,2055,1557
3715,62,479,485,1031,865,1567,1133
3716,308,1623,1723,2371,1497,1413,1832
3718,0,437,655,802,293,1140,684
3719,192,1452,1462,3511,2043,1298,1968
3720,139,88,58,157,189,677,406
3722,153,140,422,768,340,1122,285
3723,213,149,123,569,448,19,144
3724,15,720,400,818,287,374,834
3809,247,1568,1688,3942,2058,1580,2263
3810,339,1654,2691,3158,3410,4469,3398
3811,614,773,771,3441,1083,1452,1253
3812,777,1007,1350,1592,1331,2222,1593
3813,20,151,775,651,226,1418,948
3814,74,822,580,818,616,480,611
3815,0,66,101,39,62,74,36
3820,343,746,1278,1367,509,129,524
3829,135,751,230,640,0,0,536
3830,420,1510,2919,1442,83,0,1251
3832,16,368,370,206,28,74,264
3833,107,67,352,195,0,131,527
3836,88,514,165,276,197,0,124
